Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1741.6468184513649
FDW14,OUT017,1400.3176314534142
NCN55,OUT010,891.8932302075266
FDQ58,OUT017,2544.2809147571174
FDY38,OUT027,5796.639711233135
FDH56,OUT046,1851.0097143217517
FDL48,OUT018,614.1202845419422
FDC48,OUT027,2062.7829221358434
FDN33,OUT045,1544.3394654510062
FDA36,OUT017,3115.65196698486
FDT44,OUT017,1864.0332501112032
FDQ56,OUT045,1356.0180032725268
NCC54,OUT019,670.6224711011936
FDU11,OUT049,1928.558674725156
DRL59,OUT013,811.8581992322137
FDM24,OUT049,2442.1472681979494
FDI57,OUT045,3578.5349585292893
DRC12,OUT018,2805.6257614762135
NCM42,OUT027,2836.9184295443915
FDA46,OUT010,681.3569683218311
FDA31,OUT013,2839.6850819331776
NCJ31,OUT035,3771.159554150488
FDG52,OUT046,768.1739211868357
NCL19,OUT019,438.1935961508427
FDS10,OUT035,3100.1223144260607
FDX22,OUT010,846.1443800899958
NCF19,OUT035,808.7429282427279
NCE06,OUT046,2518.5577570144214
DRC27,OUT046,3812.8162299118453
FDE21,OUT035,1945.597121208166
NCR42,OUT019,45.16214142669454
FDX51,OUT018,2776.7668144139466
NCR06,OUT018,545.8506935221183
FDU31,OUT027,5807.051400104611
FDU59,OUT017,2588.4320026739992
FDR03,OUT027,5472.429172253704
FDS49,OUT027,2119.1035876304836
FDD48,OUT010,380.4571633693379
NCF18,OUT017,3242.0577043618464
NCD43,OUT027,2724.383839458524
NCD54,OUT018,1859.4787311975701
FDY19,OUT010,356.37351879568416
NCY54,OUT017,2803.04541957161
NCL19,OUT018,2040.893394679281
FDP23,OUT010,806.3069321035683
FDC26,OUT013,1787.2888850546067
FDR14,OUT010,135.37445855500752
NCS41,OUT035,3171.172922153932
FDF41,OUT035,4139.8054953518
FDU34,OUT046,2001.013573800844
DRH11,OUT046,932.0727726875905
FDM03,OUT013,1729.6627144182626
FDS31,OUT017,3182.697317669144
FDJ20,OUT017,1958.2316967186534
FDV44,OUT027,5156.716920259715
FDG02,OUT049,3123.9435290510087
FDA09,OUT013,3063.565733272266
FDT04,OUT013,688.6328058433783
FDL58,OUT019,724.4135754078454
FDE52,OUT045,1441.5868960220953
FDW12,OUT035,2449.0330221143704
FDL51,OUT017,3599.7243052747463
NCY42,OUT027,3527.5985549939364
FDR07,OUT017,1437.0343064209526
FDN40,OUT045,2324.952391983935
FDB35,OUT027,2458.6577749874054
FDA22,OUT017,2824.8468127358856
NCL06,OUT046,3913.768237783406
FDI35,OUT013,3096.2306926913984
NCW42,OUT045,3592.6564111925372
NCX06,OUT049,3013.3737377419625
FDC37,OUT027,2799.6395593617435
FDZ14,OUT018,1690.241615616025
DRG49,OUT049,4097.1240025957795
NCG06,OUT045,3840.467015437805
DRC36,OUT045,2849.9257512372637
FDV21,OUT019,342.02554962853446
FDB53,OUT046,2326.3982279092406
DRP47,OUT019,761.5411994352952
FDA14,OUT013,2292.3060358835237
DRC24,OUT035,2557.7172605144433
FDW21,OUT018,1452.6795493743575
NCH29,OUT046,1570.7599143252864
FDU58,OUT013,3123.834822599296
FDY27,OUT017,2951.0881694939185
FDV56,OUT035,1865.110401432165
FDT59,OUT046,3791.23818826663
FDB23,OUT046,3805.91536383998
FDR49,OUT045,763.2368958766074
FDB03,OUT010,797.0279853772767
FDN39,OUT045,2775.9288066461195
FDX02,OUT027,5776.222521202625
FDQ16,OUT027,2793.1406286244296
FDU35,OUT018,1399.6939287978503
NCT29,OUT013,1883.2058280238564
FDZ27,OUT046,747.5615470723279
FDN57,OUT017,2231.8666406023804
FDA03,OUT018,2026.8273057054737
FDZ36,OUT045,3138.9255558997525
NCU05,OUT013,1187.685569572742
FDT39,OUT018,2102.669471411487
FDK60,OUT017,1611.776735357051
FDZ25,OUT017,2959.361773851182
FDG12,OUT046,1909.6914460026858
DRB01,OUT019,631.8305011866247
NCC43,OUT027,6030.3259258460985
FDX13,OUT019,859.7436296168468
FDM22,OUT049,876.099668204491
FDJ03,OUT027,1359.7288635646823
FDU14,OUT018,3673.5983388213776
FDB33,OUT010,573.6014997558298
FDP27,OUT046,3106.9359015269183
FDO38,OUT010,215.5251341154441
FDE28,OUT027,5813.661717516166
FDO27,OUT035,1590.504769918344
DRL23,OUT027,2771.403778720482
FDS28,OUT046,906.4762994218008
FDX24,OUT013,1435.5784207641898
FDZ02,OUT035,1603.0509311531184
FDL46,OUT045,1729.735687779541
FDS60,OUT027,4807.80628682182
NCO06,OUT017,661.4854895516391
FDO16,OUT035,1381.938513459893
FDC60,OUT049,1419.8742096273734
FDA48,OUT018,3221.258195248499
FDZ36,OUT027,5121.813266263972
FDK27,OUT045,1851.1811313966657
FDW23,OUT018,619.5778312756083
FDM14,OUT018,1478.8181946214602
FDM14,OUT013,1746.7431763027137
FDW60,OUT018,2540.947153697369
FDE21,OUT013,1877.1563763744853
NCM42,OUT035,1794.7251031468609
FDY59,OUT010,286.162594154795
DRI49,OUT049,1221.304797914793
FDT28,OUT019,395.5102598326985
FDQ22,OUT018,561.125251338133
FDR60,OUT049,1201.3028658859937
FDC50,OUT019,264.96323884731436
FDV24,OUT013,2343.048987780477
DRF48,OUT010,698.7944326939042
FDQ47,OUT046,738.9281268054788
DRN36,OUT049,1577.2154243073269
NCY06,OUT035,2129.0328524820097
FDE52,OUT035,1495.9000551206857
NCB54,OUT045,1984.4576121109912
NCF31,OUT035,2476.1572397353625
FDJ08,OUT027,5155.0954773189105
NCC07,OUT017,1784.0907977623308
NCD19,OUT027,1466.6493309474376
